[Sat Mar 28 11:47:21.645734 2015] [:error] [pid 1549] [client 127.0.0.1:51541] script '/home/clomagno/Projects/TVTandil/workspace/tvtandil/public_html/index.php' not found or unable to stat
[Sat Apr 04 18:54:06.128450 2015] [core:error] [pid 1410] (13)Permission denied: [client 127.0.0.1:39036] AH00132: file permissions deny server access: /home/clomagno/Projects/TVTandil/workspace/tvtandil/public_html/js/vendor/mm-foundation/mm-foundation-tpls-0.5.1.js, referer: http://localhost/index.html
[Mon Apr 13 17:41:09.859120 2015] [core:error] [pid 18650] (13)Permission denied: [client 127.0.0.1:53139] AH00132: file permissions deny server access: /home/clomagno/Projects/TVTandil/workspace/tvtandil/public_html/js/vendor/ui-bootstrap/ui-bootstrap-tpls-0.12.1.js, referer: http://localhost/index.html
[Mon Apr 13 17:41:30.968264 2015] [core:error] [pid 17500] (13)Permission denied: [client 127.0.0.1:53146] AH00132: file permissions deny server access: /home/clomagno/Projects/TVTandil/workspace/tvtandil/public_html/js/vendor/ui-bootstrap/ui-bootstrap-tpls-0.12.1.js, referer: http://localhost/index.html
[Sat May 02 19:35:16.770811 2015] [core:error] [pid 13238] (13)Permission denied: [client 127.0.0.1:40281] AH00132: file permissions deny server access: /home/clomagno/Projects/TVTandil/workspace/tvtandil/public_html/vendor/ui-bootstrap/js/ui-bootstrap-tpls-0.13.0.min.js, referer: http://localhost/app/index.html
[Sat May 02 19:35:32.197028 2015] [core:error] [pid 14283] (13)Permission denied: [client 127.0.0.1:40291] AH00132: file permissions deny server access: /home/clomagno/Projects/TVTandil/workspace/tvtandil/public_html/vendor/ui-bootstrap/js/ui-bootstrap-tpls-0.13.0.min.js, referer: http://localhost/app/index.html
[Tue May 05 13:08:38.153646 2015] [core:error] [pid 1619] (13)Permission denied: [client 127.0.0.1:53186] AH00132: file permissions deny server access: /home/clomagno/Projects/TVTandil/workspace/tvtandil/public_html/img/fondo-noticias.png, referer: http://localhost/css/styles.css
[Wed May 06 10:29:07.212822 2015] [core:error] [pid 4969] (13)Permission denied: [client 127.0.0.1:54355] AH00132: file permissions deny server access: /home/clomagno/Projects/TVTandil/workspace/tvtandil/public_html/img/fondo-negro.png, referer: http://localhost/css/styles.css
[Wed May 06 11:44:32.838585 2015] [core:error] [pid 4912] (13)Permission denied: [client 127.0.0.1:56340] AH00132: file permissions deny server access: /home/clomagno/Projects/TVTandil/workspace/tvtandil/public_html/vendor/angular-slick/slick.min.js, referer: http://localhost/app/index.html
[Wed May 06 11:44:43.144250 2015] [core:error] [pid 10350] (13)Permission denied: [client 127.0.0.1:56344] AH00132: file permissions deny server access: /home/clomagno/Projects/TVTandil/workspace/tvtandil/public_html/vendor/angular-slick/slick.min.js, referer: http://localhost/app/index.html
[Wed May 06 11:59:35.988518 2015] [core:error] [pid 9251] (13)Permission denied: [client 127.0.0.1:56469] AH00132: file permissions deny server access: /home/clomagno/Projects/TVTandil/workspace/tvtandil/public_html/vendor/angular-slick/slick.min.js, referer: http://localhost/app/index.html
[Wed May 06 11:59:55.082964 2015] [core:error] [pid 4969] (13)Permission denied: [client 127.0.0.1:56477] AH00132: file permissions deny server access: /home/clomagno/Projects/TVTandil/workspace/tvtandil/public_html/vendor/angular-slick/slick.js, referer: http://localhost/app/index.html
